Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
05/13/2015,Prepaid card,General purpose card,Unauthorized transactions/trans. issues,,"The gift card I bought was already used up so there was no money/balance on the gift card and American Express is refusing to help ( it is an American Express gift card ). 
",,Amex,CA,913XX,,Consent provided,Web,05/14/2015,Closed with explanation,Yes,Yes,1374371
04/15/2015,Prepaid card,Other special purpose card,"Managing, opening, or closing account",,"Company 's involved Comerica is the bank, XXXX is customer service and XXXX is the processing company. 
In XXXX 2015 I discovered I was receiving child support payments which were going to the New Jersey XXXX a debit/credit card. I had destroyed my previous card so I called the number listed at the XXXX website to request a new XXXX. I had to confirmed my identity on the XXXX website and the XXXX website to obtain the information about the child support payments. 
I called the phone number listed on the XXXX Website and requested a new card after confirming that was the only way I could have access to the money. 
I made the call on a Thursday, paid extra for XXXX delivery, received the card on XXXX XXXX a Tuesday, followed the instructions to setup my pin number. 
After I setup the pin I attempted to pay my car insurance with the card and the transaction was declined. I thought that was a mistake because the balance on the card at the time was {$10000.00}. 
I called the number listed on the back of the card XXXX waited for XXXX minutes. Spoke with a customer service representative ( XXXX employee ) with a distinctive raspy un-clear voice who explained their was fraud and she needed to confirm my identity. Well I explained I just received the card today and just setup the pin how could fraud occur. The customer service rep said the state of NJ reported fraud because I changed my address, but just had to answer a few identity questions. Because of the representative 's un-clear raspy voice I would have to ask her to repeat her questions. Well after the XXXX question she told me her system timed out and I could fax proof of my identity wait 1 hour after faxing then call the customer service number. 
I faxed my identification the very next day, XXXX XXXX 2015 Wednesday waited XXXX hours then called the customer service number only to realize I had been blocked from accessing my information online and by phone. I called the XXXX number I automatically received a recording telling me about possible fraud and I should receive a letter in XXXX days. Online I automatically receive a fraud alert when I typed in my user id. 
Eight days passed before I received the letter dated XXXX/XXXX/2015 with a fraud unit phone number XXXX. I called the number and spoke to the same customer service rep. I told her she sounded like the same person I spoke to at the customer service number, she confirmed she was. She also confirmed there was no fraud, due to the balance on the card they wanted to again confirm my identity. I was furious. I told her I had faxed my identification XXXX days ago and no one responded. Well while I was on the phone she located the faxed documents, My NJ drivers license, government work identification, and a letter from social security confirming my social security number and she unsuspended the card. 
This all happended two weeks ago, I attempted to use my card on XXXX XXXX, 2015 and my card is suspended again. I am blocked from accessing my information online at their website and if I call the XXXX number I get the automatic recording. 
Alleged fraud XXXX in less than a month? Consistently blocking me from accessing my information online. Blocking me from actually speaking to a representative. This is ridiculous, they are holding my child support money hostage there is no fraud. They are fraudulently claiming fraud. 
",,Comerica,TX,751XX,Servicemember,Consent provided,Web,05/11/2015,Closed with explanation,Yes,No,1330702
05/10/2015,Prepaid card,Gift or merchant card,"Managing, opening, or closing account",,"XXXX is a credit card from American Express created in conjunction with XXXX.I had my back pay from XXXX XXXX deposited on this card.They currently have XXXX of my back pay money held captive and wo n't release it to me.They XXXX froze it because of a spending limit being reached.So I asked to have the balance wired into my bank account, but they said they could n't do it.So, I asked if they could wire it through XXXX XXXX ; they said they could n't do that.So, I asked if they could mail it to me, they said yes, but I have n't received it yet.it 's been a few days short of a month since their promise to mail it.They keep giving me XXXX story after another.It seems to be just XXXX lie after another.I just want my money.Neither my wife or I work.We desperately need this money to pay bills and to take care of our kids.Can you please help us get our money from American Express or XXXX XXXX ; or whomever has a hold on our money.This has been going on now for over a month now.I call customer service, they put me on hold, and they come back a few minutes later with fake promises to get me my money.They claim to have put a trace on the check that they suppose to have mailed on the XX/XX/XXXX.I have n't gotten any feedback on that trace yet.They just keep telling me whatever sounds good to string me along further and further.So, I 'm currently pursuing legal action because I do n't know what else to do.I 've given them ample time to release my funds but they wo n't. If you can help me, please do.My family and I would greatly appreciate it. 
",,Amex,GA,300XX,,Consent provided,Web,05/11/2015,Closed with monetary relief,Yes,No,1368594
05/06/2015,Prepaid card,General purpose card,Unauthorized transactions/trans. issues,,"On XXXX XXXX 2015 @ approx. XXXX pst, I went to the XXXX located on XXXX XXXX XXXX XXXX XXXX, XXXX, NV XXXX for an ATM withdrawal. The ATM gave me an error message of "" unable to process request '' and gave me XXXX options- try new transaction or give back card, knowing what my true balance was I knew this was a mistake so I opted to try new transaction and received the same message "" unable to process request '', so I decided to press the "" give back card '' option and go to the XXXX XXXX on XXXX XXXX XXXX XXXX XXXX , NV ( Note : My Bluebird American Express Prepaid Credit Card is through XXXX ). I went to the ATM machine at the XXXX XXXX and it was out of service so I then asked a XXXX employee if the Bluebird card allows me to do cash withdrawals at the XXXX XXXX, the XXXX employee stated yes, so I swiped my bluebird card on the keypad at the register and the XXXX employee asked how much I would like, I stated "" XXXX '', the XXXX associate received an error message of unable to process transaction error message, so she asked me to swipe my card again, so I swiped my card per the XXXX associate request and received the same error message "" unable to process the request '' so I asked can we do a balance inquiry, she said yes and balance inquiry stated I had XXXX, prior to going to the ATM I had just checked my account and had a balance of XXXX, so I went back to work since I was on my lunch hour, logged into my account and it showed I had a ATM withdrawal of XXXX on XXXX XXXX 2015 Transaction ID # XXXX, I grew very concerned with this information since I cane to work at XXXX and work nights and sleep during the day and I am VERY detailed and diligent with my finances, I contacted American Express at their Customer Service # ( XXXX ) and spoke with "" XXXX '' at approx. XXXX PST on Tuesday XXXX XXXX 2015 who confirmed that they had showed in their system that the ATM did NOT give me the funds and that "" I '' the customer would need to to write a letter to an address that she was going to provide ( which is also can be found at bluebird.com ) and American Express would investigate further. I then requested to speak with a supervisor who left me on hold for an obnoxious period of time which at that point I disconnected the call because I was at work and decided to file a complaint. 
",,Amex,NV,895XX,,Consent provided,Web,05/07/2015,Closed with monetary relief,Yes,No,1362650
05/14/2015,Prepaid card,General purpose card,Adding money,,"Used XXXX to load money on my prepaid PayPower XXXX card but it was not added to my account. Have a confirmation receipt from XXXX, have the actual hard copy of the receipt that I have emailed XXXX times to the company and called close to a dozen times, spoke with several supervisors but yet over and over again they pass the buck and can not offer a resolution. It has been almost a month and still they have not credited my money. 
",,Blackhawk Network Holdings Inc.,FL,330XX,,Consent provided,Web,05/15/2015,Closed with monetary relief,Yes,No,1376730
05/21/2015,Prepaid card,Gift or merchant card,Unauthorized transactions/trans. issues,,"I purchased XXXX pre-paid Visa cards at XXXX at XXXX XXXX grocery store for the total of {$1000.00} for my family as gifts each card totaled {$250.00}, i have had numerous calls to Visa who knows the cards were compromised and where, i have had no help from them on this issue!!, I filed an XXXX XXXX dispute for {$250.00} on XXXX of the pre-paid cards and won, leaving a balance of {$750.00} they owe me, they sent me a replacement card with a balance of {$55.00} on it? ( still owe me {$190.00} on that XXXX ) then my sister was able to use hers for {$110.00} until it was compromised and a thief stole the rest of the funds, she was told that she won that dispute but they did not send a replacement card or any way to get the funds back, they owe me {$570.00} plus fax and other expenses thru this process, they expect me to be able to reach an associate at their phone # XXXX ( XXXX ) XXXX never returning my calls ( even though i 've faxed all per tenant information and included all info they request on the answering service ), it has been a total nightmare and their hiding behind the veil of a large corporation that offers NO help or resolution to this issue, i have a paper trail and all receipts pertaining to this transaction and have had NO help, i 've called numerous people and have NO resolution. 
",Company chooses not to provide a public response,U.S. Bancorp,CO,801XX,,Consent provided,Web,06/11/2015,Closed with explanation,Yes,No,1386582
05/28/2015,Prepaid card,ID prepaid card,"Managing, opening, or closing account",,"I called Netspend and was told I could n't open a account because I have to many cards open. I told the representative I lost my DL, bank card and social security card back and 2010. I never open cards with them and I would like to. I was denied. 
",Company believes it acted appropriately as authorized by contract or law,"NetSpend Corporation,  a TSYS Company",TX,760XX,,Consent provided,Web,05/28/2015,Closed with explanation,Yes,Yes,1395462
05/13/2015,Prepaid card,Gift or merchant card,Unauthorized transactions/trans. issues,,"I bought XXXX {$500.00} Gift card issued by U.S. Bank National Association at XXXX 's in XXXX, CA in XXXX. I still have the physical card, original receipt. I planed to gift them to my friend for his birthday. When I checked balance before I gave them out in XXXX, They were showing less than {$20.00} on each card. Some XXXX made purchased in XXXX, Rhode Island. I have never been there and I have my cards all the time. I called customer service, a rep shut down my account and my account was under investigation. I called them back in XXXX XXXX, the operator said my case was still in investigation and there was no time frame and there was no guarantee that I would get my money back. I am worried because {$1500.00} is a lot of money. Then I started to do research online. I found out there are a lot of gift card fraud in XXXX California and US bank has very bad reputation. Some victims waited 7 months but No one got money back after investigation. 

There are a lot of victims out there like me. I attached a blog link XXXX XXXX 
",Company chooses not to provide a public response,U.S. Bancorp,CA,926XX,,Consent provided,Web,05/14/2015,Closed with monetary relief,Yes,Yes,1373793
06/06/2015,Prepaid card,General purpose card,Fraud or scam,,"I purchase XXXX variable load prepaid VISA gift cards ( issued by US Bank ) from XXXX grocery store, with {$500.00} loaded on each. Before I even had a chance to use any of the prepaid {$500.00} gift cards, I discovered that small charges to The Gap had been run on all XXXX cards, and that XXXX cards had the remaining balance charged at XXXX. Upon logging on to the www.mygifcardsite.com to see each card 's transaction history, I discovered that all XXXX gift cards were already registered to some other person and that charges had been run on all XXXX cards. I called the phone number on the back of the card and reported this fraudulent behavior. The Cust Svc Rep indicated that since charges had already been run on the cards, they could block the cards and that I would have to FAX information - including name, address, contact phone number, card nr, CCV nr, Exp date, and copies of the cards, front and back, along with the purchase and activation receipts to the Lost/Stolen Replacement card FAX number and also to the DISPUTES FAX number. The Cust Svc Rep indicated that since charges had been run US Bank could not just simply replace the card with the {$500.00} purchase balances until there is Dispute Resolution for the fraudulent charges - which can take up to 60-90 days. I believe this is quite a long time to wait for replacement cards with the full {$500.00} each value after I was victimized for fraud. The Cust Svc Rep indicated that they get many calls like this - so it appears that the bank is aware of this type of fraudulent activity with their variable load VISA gift cards. 
",Company chooses not to provide a public response,U.S. Bancorp,TX,775XX,Servicemember,Consent provided,Web,06/10/2015,Closed with monetary relief,Yes,Yes,1409396
06/11/2015,Prepaid card,Government benefit payment card,Unauthorized transactions/trans. issues,,"During a recent audit of my account, I discovered that my account had charges totaling {$1700.00}. However, Comerica/Direct Express says I have done {$2100.00} in charges. I have done the math, have the printout and request your intervention in this matter. I have already complained to them without result. 
",,Comerica,CA,953XX,,Consent provided,Web,06/16/2015,Closed with explanation,Yes,No,1417355
05/23/2015,Prepaid card,General purpose card,"Managing, opening, or closing account",,"I have a XXXX Visa Citi debit cards ( $ 100/card XXXX and realized the expiration was XXXX on XXXX cards. I called today and they told me they would not reissue the cards. The cards are definitely less than 2 years old so this restrictive timeframe is not consistent with the direction provided by your site XXXX that a 5 year time frame would be allowed XXXX. 
",Company chooses not to provide a public response,Citibank,MN,554XX,,Consent provided,Web,05/28/2015,Closed with explanation,Yes,No,1390304
06/27/2015,Prepaid card,Other special purpose card,Fees,,This card was originally loaded with XXXX. I must have misplaced it and forgotten about it. I recently located it and checked the balance. It is now XXXX. The card expired XX/XX/XXXX. I called and was told they will not reissue a card and I now am unable to collect the XXXX. That is wrong. I understand about the XXXX monthly rip off fee. I should be able to collect the remaining XXXX,,Amex,OH,444XX,,Consent provided,Web,06/27/2015,Closed with monetary relief,Yes,No,1441363
05/29/2015,Prepaid card,Payroll card,Unauthorized transactions/trans. issues,,", XXXX XXXX, Il, XXXX, entity number is XXXX, and the address in Delaware is XXXX, according to the CA Secretary of States XXXX XXXX. So, this company is a customer of the prepaid city payroll. I am not speaking about other Sears, but only what happened to me, that since I was added to their account, and the management kept it a secret, they had also all the powers to control it, spend it and so on. That 's explaine, why I could not get any statements from them, and was fed tomorrows. I have every check that was deposited on the statements and every XXXX says that the money were deposited into checking account, ending XXXX ( I am not going to put it here, but I will send to you ). And, of course, it was not my account, it was their account. These people, I worked for, were living of me. Shame! I want justice, and I want all the refund. Not only, how emotionally had they broke me, not even including. Thank you. Please, I will wait for your response. MY phone number XXXX XXXX XXXX. Thank you, again, with all my respects, XXXX 
",Company chooses not to provide a public response,Citibank,CA,944XX,,Consent provided,Web,06/02/2015,Closed with explanation,Yes,Yes,1397129
06/18/2015,Prepaid card,General purpose card,"Managing, opening, or closing account",,"I have purchased a XXXX XXXX by American Express from XXXX store. I have added {$500.00} to it with the initial purchase. The card was not properly activated and the card can not be used. 

I have contacted American Express and sent in all the materials they asked for, driver 's license, front and back of card, receipt, card package, etc. 

I have not received any response for six months, which is totally unacceptable. Every time I call customer service, they would just tell me to wait for a few more days. 
",,Amex,WA,981XX,,Consent provided,Web,06/22/2015,Closed with monetary relief,Yes,No,1427978
06/05/2015,Prepaid card,General purpose card,Unauthorized transactions/trans. issues,,"There was a charge from XXXX for XXXX $ that I did not authorize. I disputed the charge with in minutes of the transaction, but American express did not research the transaction and awarded the company my money, even though it was against my will. 6 months later they have refused to address the issue, and now that it 6 months later, they refuse to re investigate it. I have contacted them every month, if not more to keep up with the charge. Every time they promise to contact dispute resolution, and have the issue rectified. Every time I call back, they say the previous action did not occur. They have aided this unauthorized charge.And at this point, I consider it aiding in theft. Every time I call I 'm on the phone for more than an hour. 
",,Amex,NY,125XX,,Consent provided,Web,06/09/2015,Closed with explanation,Yes,Yes,1408295
06/24/2015,Prepaid card,General purpose card,Unauthorized transactions/trans. issues,,"Issue with Card Numbers : XXXXI purchased a US Bank Visa Variable Gift cards for {$500.00} at XXXX ( XXXX XXXX XXXX XXXX , XXXX XXXX , CA ) on XXXX/XXXX/2015 and XXXX/XXXX/2015. 

The {$500.00} gift card I purchased on XXXX/XXXX/2015 which was fraudulently used for {$490.00} at a XXXX XXXX in XXXX XXXX on XXXX/XXXX/2015. My funds are held for over XXXX months now. 

I tried to use the one I purchased on XXXX/XXXX/2015 on same day due to my previous card being drained by fraudsters before I used it, but it was declined saying that it was not activated. I faxed in required information for activating it. Later, when I tried to use the gift card at a XXXX in XXXX XXXX, CA on XXXX/XXXX/2015, the purchase was declined. When I checked online I found that it was fraudulently used for a purchase of {$490.00} at XXXX in XXXX, CA on XXXX/XXXX/2015 while I still have the possession of my gift card. I did not even know it was activated and the funds were drained. 

I faxed all the necessary documents to US Bank. It seems like something is really wrong with these prepaid gift cards that makes it so easy for fraudulent transaction while we still have possession of the card. I would suggest everyone not to buy these US Bank Gift cards to avoid this hassle and being out of your funds for several months. 
",Company chooses not to provide a public response,U.S. Bancorp,CA,927XX,,Consent provided,Web,06/29/2015,Closed with monetary relief,Yes,No,1436263
07/11/2015,Prepaid card,General purpose card,Fees,,"They add fees to this account 
",Company believes it acted appropriately as authorized by contract or law,Atlanticus Services Corporation,TN,381XX,,Consent provided,Web,07/17/2015,Closed,Yes,No,1463485
07/24/2015,Prepaid card,General purpose card,Fraud or scam,,"I placed an order with XXXX for appliances in XX/XX/XXXX. I filled out and mailed a rebate form for a {$120.00} Visa Debit Card for purchasing XXXX washer and dryer that was part of the order. I received a debit card through the mail sometime XX/XX/XXXX. I did not activate the card. In XX/XX/XXXX, I received a letter in the mail from Blackhawk XXXX notifying me that my debit card may have been compromised and they were sending me a new card which I received in XX/XX/XXXX 
Around XX/XX/XXXX, I went to the myprepaidcenter.com web site to activate the card. I discovered only {$2.00} credit remained on the account. I called a Blackhawk representative and he stated that two purchases were made on the XXXX web site on XX/XX/XXXX in the amount of {$83.00} and {$39.00}, respectively. The representative told me he would send a dispute form in the mail for me to fill out and once received by XXXX, the account would be credited the full amount of {$120.00}. 
I never received the form, so I called again on XX/XX/XXXX. This time I spoke to XXXX XXXX. She said she would email me the form that day. Once again, I was told to just fill out the form and my account would be credited the full amount. I filled out the form and tried to fax it along with supporting documentation numerous times over XXXX days XXXX XXXX XXXX and XXXX XXXX ) to the fax number provided. Everything worked fine on my end, but when the fax machine connected on their end, nothing would happen and the transmission would time out. I sent an email stating the problem but did not get a response. So I emailed the dispute form and also mailed it to the address shown in the instructions. 
I did not hear back from Blackhawk so I called them on XX/XX/XXXX and spoke to XXXX. He said Blackhawk received the dispute form and his management are reviewing the dispute and will contact me within XXXX business days. I never heard back from Blackhawk. 
Around XX/XX/XXXX, I then received two notifications dated XX/XX/XXXX in the mail from Cardholder Services stating that they had sent me a letter concerning the unauthorized activity on my account ; then stating that since they did not receive my inquiry ( which they never requested in their letters ) within the timeframe allowed to pursue the dispute the claim has been closed. Each letter was for one of the two XXXX purchases. 
I feel this has been a scam all along. I never activated the original card, but yet someone allegedly used the account to make the two purchases on XX/XX/XXXX Blackhawk never indicated at the beginning of this issue that I had to fill out a dispute form. They just sent me new cards and never indicated I had to fill out a dispute form. I had to initiate the discussion with Blackhawk to find out they wanted the dispute form and then it took effort and time to finally get it to them. Then they say my dispute form was received too late. Something is amiss. 
",,Blackhawk Network Holdings Inc.,CO,802XX,Servicemember,Consent provided,Web,08/12/2015,Closed with monetary relief,Yes,No,1486288
07/29/2015,Prepaid card,Transit card,Fraud or scam,,"Dear American Express Representative or To Whom It May Concern : I am a XXXX year old, XXXX male, and a retired U.S. Military Veteran. 

I acquired and employed your services less than a year ago when a colleague had recommended your service being AMEX EXPRESS SERVE CARD/ACCOUNT services which was intended to protect my finances and enable me to have my military payments from the U.S.A Federal Government be Direct Deposited to my account/card. 

I did this because since being back home to the states, I have been victim to XXXX / XXXX and XXXX on XXXX occasions. Since I have been back and attending school, I have also been working and filling in for my former trade in the XXXX XXXX XXXX. That being noted, I often have no other choice than to have to carry cash or often make cash deposits after the end of my shift. This alone, not to mention the other added benefits of being an AMEX CARDHOLDER Member and the online banking and fraud protection, and ability to have my U.S. GOVERNMENT/ GI SUPPORT Directly Deposited to one of your banks with my serve account is why I employed your services. 

My card & wallet was stolen on XXXX XXXX, 2015. Upon not being able to find it and then seeing the online charges posted at XXXX and XXXX 's totally in the amount of {$870.00} in Fraudulent Charges. ( not including transportation and record fees adding {$26.00}. ) I called AMEX and the police THE SAME DAY. ( Incident Report # XXXX, XXXX XXXX XXXX Police, by XXXX XXXX ) I have made countless calls to multiple departments within your company. I have followed all the correct procedures with contacting you and the police department for this given situation. From the time of calling for the local police for the larceny to having to acquire transportation to each individual Police Department where my card was fraudulently used and had to meet with multiple Detectives. Having done this and agreeing to press charges to retain my lost earnings since my GI Support Payment is what pays my rent. I am facing being behind on rent and potentially eviction. Not to mention other fees I have incurred like late payments, lost wages, not to imagine yet what it may cost for legal fees I will incur as I pursue this matter. As I have been ignored, continuously time and time again, by nearly all representatives I have spoke with and promised this would be "" escalated to upper management with a promised call back within 48 hours '' - THREE times now since this has occurred. 
Initially, I was told I would have a complete refund within 7-10 business days back to my account for all of it, and the lesser charge even sooner, as it was under {$500.00}. 

Not only have I faced such a situation and ordeal with your company ( AMEX ), I was denied my claim for these fraudulent charges, while I have worked countless hours in regards to investigate and aide your company in my loss and identity theft, but I have also provided reports with the multiple Police Departments being able to successfully acquire clear video surveillance footage of these fraudulent purchases taking place by a stranger that is clearly not me, being a white male ( Accomplice and Burglar, XXXX XXXX, who is currently incarcerated on unrelated charges ) making the purchases. They, nor did anyone, have permission for any such authorized use or possession of my card. The police have even arrested and interrogated these people. Some of these Detectives involved with this case have spoke with AMEX, one call I witnessed in person at the Police Department. 

How AMEX Investigators came to find the my claim should be rejected as claiming "" the charges were authorized '' is beyond me considering the ample evidence that is VERY CLEAR and STRAIGHTFORWARD that this was not me and was the person reported to have stolen it. See attach.. 
",,Amex,MO,631XX,Servicemember,Consent provided,Web,07/29/2015,Closed with monetary relief,Yes,No,1492961
