Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
04/19/2015,Money transfers,Domestic (US) money transfer,Other transaction issues,,"I had sold an item ( Snap-on XXXX Portable Gas Generator XXXX - XXXX ) to buyer : papooseman for which this buyer later opened a false item not received ( XXXX ) case on XXXX ( Case ID:XXXX ). The item had been delivered to the buyer as tracking clearly showed and shipping was purchased from XXXX, so XXXX did rule in my favor and release the hold on my PayPal funds ( see attached - Unique Transaction ID # XXXX ). Recently, when I was tallying my inventory and funds, there was a discrepancy of about {$480.00}. So, I rechecked all my transactions on PayPal. Shockingly, PayPal had reversed/refunded these funds to the buyer, even though XXXX had ruled in my favor. I then appealed to XXXX who said they find it in my favor and would ask PayPal to return the funds back to me. It has been more than two weeks and this matter has not been resolved. They are just transferring me from one department to another. They did not provide me any chance to provide a rebuttal. This is blatantly unfair. Please help me out. 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",CA,928XX,,Consent provided,Web,04/19/2015,Closed with explanation,Yes,No,1336268
05/07/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,"On XXXX, I was speaking to a young lady by the name ofXXXX XXXX about a business venture where I would pay her {$50.00} to get started and she would "" run '' some numbers and send the profit back to me. This conversation happened Thursday XXXX and I ended up sending {$50.00} to her by Western Union on XXXX/XXXX/2015. Then I got several calls and texts from someone name XXXX XXXX and when i tried to call XXXX back, no answer. Every since then this XXXX XXXX has taken over stating that XXXX did n't complete the transaction correctly. Yesterday I ended up having to send anther {$50.00} to XXXX XXXX by XXXX and still no profit. I called last night and today asking and demanding my money and his response was "" these NUTS. "" I just want my {$110.00} ( Money sent plus fees ) Even though the money was sent to XXXX XXXX, the person receiving the money is XXXX XXXX. 
",,The Western Union Company,TX,775XX,,Consent provided,Web,05/07/2015,Closed with explanation,Yes,No,1365345
04/15/2015,Money transfers,Domestic (US) money transfer,Other transaction issues,,"On XXXX XXXX 2015 I when online into my Paypal account and initiated a transfer of {$230.00} from XXXX of my XXXX linked external accounts, a savings account at XXXX XXXX Bank. Ultimately I wanted to send this money to my sons account with Paypal. Each day I checked the balance on my Paypal account which was {$0.00} until I checked on XXXX XXXX XXXX, when the balance showed as {$230.00}. So I initiated a transfer of these funds from my Paypal account to my sons paypal account. Later that day I happened to be on line looking at my XXXX XXXX Accounts and I noticed that the {$230.00} had been taken from my savings account but had also been taken from my checking account. I was upset because I had instructed the {$230.00} to only come out of my savings and did not know why the {$230.00} was also taken from my checking account. Luckily this {$230.00} coming out of my checking account without my knowledge could have resulted in an overdraw but did n't. When I called Paypal the representative told me that they took the XXXX {$230.00} because the original {$230.00} had n't actually cleared when I initiated the transfer to my son. I asked if the {$230.00} had n't yet cleared from my XXXX XXXX Account savings account, based on my transfer on XXXX XXXX, then why did Paypal show that I had a {$230.00} available balance. I also wanted to know how did Paypal then manage to get the second {$230.00} from my XXXX XXXX Checking on the same day, and why did n't they take the XXXX {$230.00} from my savings account and not my checking, all without my prior approval or even notification. The rep did not have an answer so I asked to be transferred to a supervisor, which he said he would do. I waited on the phone in a queue for quite a while and then was cut off and hung up on. I called again later in the day and spoke to a Paypal Supervisor, XXXX, in their office in the XXXX. He agreed that it was a problem that the system showed the funds as being available and then let me transfer the money, and that it was a problem that the second {$230.00} was taken without my approval. He said that he was submitting a trouble/problem ticket and that I will receive an email acknowledging this. I never received an email so I went on line and submitted an online email complaint. I received the email shown below so I responded saying that I would have to file a complaint with a regulatory agency. 
In my opinion I think that it should be illegal for Paypal to take any funds from XXXX of my linked accounts without first getting my approval or at a minimum notifying me. 
Dear XXXX XXXX, My name is XXXX and I am a Supervisor with PayPal 's Customer Solutions Department. I appreciate this opportunity to respond to your concerns. 
I attempted to contact you directly on XXXX XXXX, 2015 at XXXX Central Time, but was unable to reach you at that time. I wanted to follow up with you regarding your phone call to PayPal on XXXX XXXX, 2015. 
A review of your PayPal account shows that on XXXX XXXX, 2015, you made a payment to XXXX XXXX. I do understand that you intended the transfer to come from your account balance. The balance was not added to your PayPal account until XXXX XXXX, 2015 at XXXX Pacific Time . The withdrawal initiated to your bank account for {$230.00} shows that it has completed to your bank account. 
I offer my sincere apologies for the difficulty that you have experienced and hope this information addresses your concerns and answers any questions you may have had. You can contact PayPal 's Customer Solutions Department at XXXX if you have any questions or concerns or if we can be of further assistance. 
You can find additional information and tips about buying and selling safely on our Business Resource Center at XXXX 
Very sincerely yours, XXXXCustomer Solutions Supervisor 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",NY,115XX,,Consent provided,Web,04/20/2015,Closed with explanation,Yes,No,1330782
04/24/2015,Money transfers,International money transfer,Fraud or scam,,"On XXXX XXXX, 2015, I, an XXXX year old resident of XXXX XXXX was a victim of a telephone scam in which I was cheated {$1300.00}, which money I forwarded by XXXX, XXXX, XXXX to the XXXX XXXX, reference # XXXXThe call was by a so-called- XXXX of XXXX which prompted me to send the money was that a great nephew of mine was involved in a traffic accident in XXXX XXXX Ga, and neededthe money for bail. Instructions were given precisely go to the XXXX .XXXX and send the money within XXXX hours. I was shocked an confused and wentimmediately to XXXX XXXX and gave the clerk the money. No questions wereasked by the clerk, or questions asked about the money going out of the country. I havesince contacted the XXXX Attorney Generals XXXX to report the scam, and am awaitingtheir reply. 
",,MoneyGram,OH,430XX,"Older American, Servicemember",Consent provided,Web,04/30/2015,Closed with explanation,Yes,Yes,1345260
05/20/2015,Money transfers,Domestic (US) money transfer,Other service issues,,"PayPal enrolled me in PayPal Credit without me knowing that they had enrolled me and when I made a purchase it went on the PayPal Credit account instead of my regular PayPal account which is hooked up with my XXXX I later tried to purchase antivirus for my computer and it would not go thru then I find out I owed PayPal Credit {$75.00} I have a XXXX of problems with this. 
1 ) I never wanted PayPal Credit because I have a PayPal Account2 ) They should have billed PayPal like I intended them to3 ) I never received a bill or phone call or I would have paid it as soon as I knew about it! 

When I called them and told them I wanted to settle up on the bill when I found out this is why my antivirus purchase did not go thru I told PayPal to charge my Credit Card yet the charged my bank account and caused a couple of my bank payments to bounce! 
",,"PayPal Holdings, Inc.",GA,300XX,,Consent provided,Web,05/20/2015,Closed with monetary relief,Yes,No,1384357
04/21/2015,Money transfers,International money transfer,Fraud or scam,,"My wife and I bought a product called XXXX XXXX XXXX in XXXX XXXX. The purchase was contingent on XXXX XXXX XXXX XXXX XXXX, purchasing our XXXX weeks of timeshare at XXXX XXXX. I contacted XXXX XXXX XXXX XXXX XXXX and we started the process. XXXX XXXX XXXX XXXX is located in XXXX Az. In the process of trying to close XXXX XXXX had me wire ( XXXX/XXXX/2015 ) {$20000.00} to an escrow account in XXXX, purpose to paid the taxes on the sale. This money was to be completely refundable at closing.. XXXX XXXX XXXX, 2015 told by XXXX XXXX that I needed to send another {$5100.00}, my half of the transfer fees. I did this. When it came time to close I called and was told that XXXX XXXX no longer works for XXXX XXXX XXXX XXXX. She was remove because she stole the {$5100.00} by having that money sent to a different account in XXXX. I have filed a complaint with the Better Business Bureau. I stopped the down payment that was put on my credit card. 

Please advise what action can be taken to get the {$20000.00} and the {$5100.00} back from XXXX XXXX XXXX XXXX. I can provide all the documentation and time table of events. My number is XXXX. 

XXXX XXXX 
",,Whitney Bank,LA,707XX,Older American,Consent provided,Web,04/21/2015,Closed with explanation,Yes,No,1339331
05/20/2015,Money transfers,International money transfer,Other transaction issues,,"I received a phone call telling me that a Western Union transfer I had made in XXXX 2013 had not been collected and requesting personal information for ID verification to initiate a refund. I refused to give any personal information and contacted Western Union via their web site to see if this was genuine or a scam. Western Union confirmed it was genuine and said a refund would be made within XXXX hours. 
After XXXX online chat sessions and XXXX written communications over a XXXX week period each XXXX promising a resolution in between XXXX hours and XXXX week, I have still not received a refund. 
",,The Western Union Company,CA,945XX,Older American,Consent provided,Web,05/20/2015,Closed with explanation,Yes,Yes,1384507
05/15/2015,Money transfers,International money transfer,Other transaction issues,,"I have been a victim of fraud and I want to stop the money from going thru. 
",Company chooses not to provide a public response,Wells Fargo & Company,CA,933XX,Servicemember,Consent provided,Web,05/15/2015,Closed with explanation,Yes,No,1377424
05/20/2015,Money transfers,Domestic (US) money transfer,Other transaction issues,,"I sold products on EBAY through PayPal. They knew I hadchanged my bank as I let them know. There seemed to beno problem taking my money out of the new bank when Ipurchased something. But the money they owed me stillis in their hands. Several phone calls later they assuredme that it was taken care of and I still see they still have it 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",CA,922XX,Older American,Consent provided,Web,05/20/2015,Closed with explanation,Yes,No,1385061
05/01/2015,Money transfers,International money transfer,Other transaction issues,,"I sent money to my wife in XXXX the sum of {$260.00} and paid a fee of {$10.00} and when my wife told me that she has changed her name from her family name to my family name ( XXXX, XXXX XXXX to XXXX, XXXX XXXX ), i called western union to change the name so she can receive the money but western union refused that unless they call me on my registered cell phone. I told them am XXXX, right now am with XXXX XXXX in XXXX and that my phone is not working, i told them am ready to provide any other form of identification but they refused unless they call me on cell phone, so i requested to cancel the transaction. Instead of them refunding me my total money of {$270.00}, they refunded me {$260.00}, saying that they will not refund me my fee, meanwhile they refused to change the name and also if i have to send another money i will be paying another fee, i request they issue me back my fee so i can send the money again. This is my wife, and my wife is right now without money and I being XXXX has to take care of my family, but western union is making it difficult for me to take care of my wife. I need my refund fee back 
",,The Western Union Company,VA,237XX,Servicemember,Consent provided,Web,05/05/2015,Closed with explanation,Yes,Yes,1357378
05/20/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,"The company called paypal cost me a {$18000.00} transactionPrevented me from shipping the items out to the buyer which we found out try too scamand held my money and took up my time up to three months instead of letting my itemsbe shipped and verifying that the items where delivered they would not allow it in theend i loss the money loss somes items loss a sell lost my paypal account and was robbed of several months of my timePlus The money that i used to investThe problem was on paypals end where there system auto corrected the address i was shipping it to so I could n't send it to the exact address so paypal would n't allow me to send itA case was open against me in paypal by the buyer I won the caseonce you win a case in paypal system it cant be reverse the outcome is the money is mines regardless if they win a appeal the buyer should of never used a bogus addressThis case tied up all my money in my paypal account later the case was appealed I lost the case and they went against there contract and took the money outThey already broke there contract simple by covering the buyer who split XXXX payment into multiple payments the buyer by contract and paypal by contract does not cover or open case for thosebuyers it is in the agreement I will let you read over the notes and i have attach some phone calls along with PayPal XXXX XXXX breach of contractThe protected a person who committed multiple split paymentsnot only that the case was decided in my favorWhich is also against there term in agreements for me be charge there terms and agreements say if I win the caseI will not be charged at all if I lose and appeal and the moneys is minds to keepThe gave me a address where i can subpoena the phone calls they told over the phone not to ship it outand wait until they fixed there address which was incorrect if they did n't fix it does n't matter if they do or not. 
Because the money is mine because I listen to what they said. 
Also a manager said the money is mines it will never be reversed. 
XXXX represented said the promise and guaranteed and wrote it down that if i follow there orders and dont ship it everything would be fine. 
When a appeal is won it paypal fronts the money. 

When i ask for phone calls a specific XXXX where paypal said they can do what every they want break there contract and word and that there are the lawpaypal closed my account and said i was a threat to paypal i want all the calls from last yearPaypal made up a bogus against excuse and the reps are sleazy and speak in a sleazy voice ( American reps ) they said a regular employee said not even from the corporate office said we found out you where assisting with another account so we shut you down which is a huge lie since you are allowed to do it in paypal you can add people onto your account then they said oh because it is your account they tried to claim but yet they did n't send a bill to me but the account holderAn i told them about that account and the corporate office too months of there time reviews it and said we wont compensate you like we promise and laughed it offPlease look at there contracts on line they say the phones call may or ay not be recordedand lawyers said it is fine to record as long as you hear thatso if you request some recording from me or if they lie i try to get you some to show you they are bonafied liars and thieves and scammers you can subpoena phone calls aswellOne more thing they also breach contract by covering services i was testing the ram packaging it and sending it the merchandise all this was bundled in the sellwith service is against there agreement to cover it. 
I want my money back and the accounts involved to have no chargesthey deleted the accounts to hide evidence i cant even look at my financial historyI will wait for them to lie to you guys then i will bring out evidence ' 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",IL,606XX,,Consent provided,Web,05/20/2015,Closed with explanation,Yes,Yes,1384408
05/16/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,"My name is XXXX I live at XXXX XXXX XXXX XXXX in XXXX wa XXXX1 My phone number is XXXX, I recently moved and I 'm a struggling student. 2 months ago I spent all the money I had in my savings in purchasing XXXX new iPhone 's off XXXX for a good deal. These were valid legitimate phones -the serial numbers checked out with XXXX and XXXX - they werent blacklisted, or stolen, all XXXX phones were brand new, sealed, unopened and never used, so I decided to try to sell them on ebay. I 've never sold anything online before, but I 've seen advertisements and claims of protecting sellers, buyers, all kinds of promises were made to me before I signed up - so I felt safe initially in posting all XXXX phones. XXXX by XXXX they all sold, over the course of a week and a half - and when the XXXX phone sold, I got an email from paypal- telling me that my account was limited, and I needed to provide documentation to prove my identity. At XXXX paypal asked for a few things, but as I started uploading my information to their website - statements, bills, my identification, social security number, etc, every docment I uploaded to confirm my identity was met with a request for another XXXX DIFFERENT documents. Right when I uploaded XXXX of my last documents, a XXXX bill in my name with my address, they limited my account permanently - without appeal. They informed me they 're holding my funds for 180 days, and there 's nothing I can do about it. I 've been calling paypal XXXX a day now for a week straight, and every single person I 've talked to has given me different requirements. They all keep saying the same thing, that I agreed to their terms of service - and when I asked them why they were doing this, they said that they need to hold onto the money to protect themselves in case of chargebacks for 180 days. This is in spite of the fact that all XXXX items tracking numbers show delivered, all XXXX items received positive feedbacks and gratitude from their buyers, all XXXX items have been activated on their respective carriers without issue, and most importantly, at the time of the sale before i shipped, I was assured by paypal that I qualify for seller protection which would negate the ill effects of things such as chargebacks or item not received claims. The whole time leading up to this, i was reading stories of buyers abusing these systems to take advantage of sellers, and I was so scared at XXXX point I considered scrapping the remaining XXXX auctions and cancelling them as well as the XXXX XXXX before shipping the phone out and just selling them locally. I wish I had done that now, Paypal limited my account, not allowing me access to any of my funds for 180 days.This was all the money in the world I have to my name, and it 's locked up making interest for paypal for 6 months now. My ebay account got closed because I could n't pay the seller fees because paypal wouldnt release my money to ebay to cover the fees. The account was then sent to collections. I do n't have money to pay my rent, I 've tried calling paypal multiple times asking them why they are doing this, but keep getting canned responses. I followed their rules down to the t, I took all the precautions to protect myself, and now i 'm facing eviction. I 've provided the documentation they 've asked for, and they refuse to do anything until 180 days has passed, the last XXXX times I called on friday I was simply trying to add a bank account to my paypal account in preparation to receive my money into it, as far away as it may be ( they said XXXX XXXX ), and all XXXX attempts failed as their employees seemingly mocked and ridiculed me, telling me that im wasting my time and there 's no point in adding a bank account since I ca n't pull the money out anytime soon anyway. UNREAL ... 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",WA,980XX,,Consent provided,Web,05/16/2015,Closed with non-monetary relief,Yes,No,1379264
05/12/2015,Money transfers,Domestic (US) money transfer,Other transaction issues,,"Made a domestic wire transfer from Citibank to XXXX XXXX XXXX Bank on XXXX/XXXX/2014 ( Citibank reference number XXXX ). Shortly thereafter it was discovered that the beneficiary 's account no. was incorrect. Several requests were made via Citibank to XXXX XXXX to return the funds but to date XXXX XXXX has refused to return the funds despite Citibank 's repeated recall requests ( Citibank wire case XXXX ). To date ( XXXX months later ) funds have not been returned. 
",Company chooses not to provide a public response,Citibank,FL,333XX,,Consent provided,Web,05/13/2015,Closed with explanation,Yes,No,1372103
05/17/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,"Somebody called from XXXX posing as police and threatened to arrest and XXXX despite having XXXX status. Then transfer the call to saying XXXX officer calling from a number listed on XXXX website as toll free number ( XXXX ). They took our all identity information including SSN. Then the posing officer said we were tracked and all our bank passport were frozen now and bank account were frozen. Then he said he talked official in our home country and as our background clear in US he ca n't put us behind bars and the XXXX govt has to do the background check and let them know within 3 days. But to do the background check XXXX govt wanted {$2400.00} as refundable security deposit. We were told to deposit the amount within XXXX hour as office is going to close and only moneygram can make it possible to transfer within XXXX hour. We panicked and did XXXX transfer. After depositing we realized about the fraud and complained to police in XXXX. The complain DC # XXXX. I called moneygram to cancel the transaction ( ref # XXXX ) and report the fraud, but they could not do anything about it as money has been picked up. Please help us to get the money back or bring these criminal people to trial. 
There are many cases like this involving moneygram. They should change their policy in favor of senders. 
",,MoneyGram,PA,191XX,,Consent provided,Web,05/17/2015,Closed with explanation,Yes,Yes,1379485
05/12/2015,Money transfers,International money transfer,Wrong amount charged or received,,"On XXXX XXXX we did a wire transfer to a beneficiary we 've known for a long time, using the wire transfer services from Bank of America. This was not the first time we wired the same company. We have for many times sent money from the SAME ACCOUNT and TO THE SAME ADDRESSEE. And at all times except this XXXX our supplier got the money with no major issues. This time the money was NEVER received and Bank of America says that there is nothing they can do if the other part did not get the money. They suggest me to contact the intermediary bank! HOw come? Is with Bank of America I deal with! This is at Bank of America I deposit our money and "" trust ''. How come they CAN NOT BE HELD RESPONSIBLE for a wire transfer service if they charge to do it??? 

This is the information on the XXXX : XXXX XXXX : XXXX XXXX, XXXXAccount Manager XXXX XXXX XXXX XXXX Number for XXXX XXXX Number I received XXXX from Customer Service @ Bank of America XXXX XXXX XXXX XXXX XXXX - Ext XXXX email is XXXXXXXXXXXX and my ph number is XXXX 
",Company chooses not to provide a public response,Bank of America,FL,331XX,,Consent provided,Web,05/12/2015,Closed with explanation,Yes,Yes,1372260
